Cause_of_death,Year,Region,Death_rate
Road injury,2019,Global,16.63345
Road injury,2019,African Region,27.21174
Road injury,2019,Region of the Americas,15.32743
Road injury,2019,South-East Asia Region,15.83803
Road injury,2019,European Region,7.40449
Road injury,2019,Eastern Mediterranean Region,17.82431
Road injury,2019,Western Pacific Region,16.43884
Self-harm,2019,Global,9.12295
Self-harm,2019,African Region,6.90448
Self-harm,2019,Region of the Americas,9.63922
Self-harm,2019,South-East Asia Region,10.07288
Self-harm,2019,European Region,12.75896
Self-harm,2019,Eastern Mediterranean Region,5.85058
Self-harm,2019,Western Pacific Region,8.72794
Interpersonal violence,2019,Global,6.15821
Interpersonal violence,2019,African Region,10.03876
Interpersonal violence,2019,Region of the Americas,19.18572
Interpersonal violence,2019,South-East Asia Region,3.76926
Interpersonal violence,2019,European Region,2.85161
Interpersonal violence,2019,Eastern Mediterranean Region,5.29817
Interpersonal violence,2019,Western Pacific Region,1.63838
Road injury,2000,Global,19.009
Road injury,2000,African Region,29.81176
Road injury,2000,Region of the Americas,16.65624
Road injury,2000,South-East Asia Region,17.09231
Road injury,2000,European Region,14.99016
Road injury,2000,Eastern Mediterranean Region,18.49596
Road injury,2000,Western Pacific Region,20.24119
Self-harm,2000,Global,12.89825
Self-harm,2000,African Region,9.20672
Self-harm,2000,Region of the Americas,7.52846
Self-harm,2000,South-East Asia Region,13.5877
Self-harm,2000,European Region,21.88072
Self-harm,2000,Eastern Mediterranean Region,6.33671
Self-harm,2000,Western Pacific Region,13.7797
Interpersonal violence,2000,Global,7.84928
Interpersonal violence,2000,African Region,13.83233
Interpersonal violence,2000,Region of the Americas,19.32664
Interpersonal violence,2000,South-East Asia Region,5.19642
Interpersonal violence,2000,European Region,7.73862
Interpersonal violence,2000,Eastern Mediterranean Region,6.20166
Interpersonal violence,2000,Western Pacific Region,3.05675
