Cause_of_death,Year,Region,Death_rate,Perc_decline
Road injury,2019,Global,16.63345,12.49697512
Road injury,2019,African Region,27.21174,8.721457572
Road injury,2019,Region of the Americas,15.32743,7.977850944
Road injury,2019,South-East Asia Region,15.83803,7.338270836
Road injury,2019,European Region,7.40449,50.60432977
Road injury,2019,Eastern Mediterranean Region,17.82431,3.631333545
Road injury,2019,Western Pacific Region,16.43884,18.78520976
Self-harm,2019,Global,9.12295,29.26986219
Self-harm,2019,African Region,6.90448,25.00608251
Self-harm,2019,Region of the Americas,9.63922,0
Self-harm,2019,South-East Asia Region,10.07288,25.86765972
Self-harm,2019,European Region,12.75896,41.68857332
Self-harm,2019,Eastern Mediterranean Region,5.85058,7.671646643
Self-harm,2019,Western Pacific Region,8.72794,36.66088522
Interpersonal violence,2019,Global,6.15821,21.54426903
Interpersonal violence,2019,African Region,10.03876,27.42538676
Interpersonal violence,2019,Region of the Americas,19.18572,0.729148988
Interpersonal violence,2019,South-East Asia Region,3.76926,27.46429272
Interpersonal violence,2019,European Region,2.85161,63.15092355
Interpersonal violence,2019,Eastern Mediterranean Region,5.29817,14.56851875
Interpersonal violence,2019,Western Pacific Region,1.63838,46.40124315
Road injury,2000,Global,19.009,0
Road injury,2000,African Region,29.81176,0
Road injury,2000,Region of the Americas,16.65624,0
Road injury,2000,South-East Asia Region,17.09231,0
Road injury,2000,European Region,14.99016,0
Road injury,2000,Eastern Mediterranean Region,18.49596,0
Road injury,2000,Western Pacific Region,20.24119,0
Self-harm,2000,Global,12.89825,0
Self-harm,2000,African Region,9.20672,0
Self-harm,2000,Region of the Americas,7.52846,0
Self-harm,2000,South-East Asia Region,13.5877,0
Self-harm,2000,European Region,21.88072,0
Self-harm,2000,Eastern Mediterranean Region,6.33671,0
Self-harm,2000,Western Pacific Region,13.7797,0
Interpersonal violence,2000,Global,7.84928,0
Interpersonal violence,2000,African Region,13.83233,0
Interpersonal violence,2000,Region of the Americas,19.32664,0
Interpersonal violence,2000,South-East Asia Region,5.19642,0
Interpersonal violence,2000,European Region,7.73862,0
Interpersonal violence,2000,Eastern Mediterranean Region,6.20166,0
Interpersonal violence,2000,Western Pacific Region,3.05675,0
